"Estacion","Fecha inicial","Fecha final","CO"
"NOBSA-NAZARETH","2020-07-06","","929.39833333"
"NOBSA-NAZARETH","2020-07-05","","751.32565217"
"NOBSA-NAZARETH","2020-07-04","","878.12217391"
"NOBSA-NAZARETH","2020-07-03","","478.43458333"
"NOBSA-NAZARETH","2020-07-02","","430.90208333"
"NOBSA-NAZARETH","2020-07-01","","497.88166667"
"NOBSA-NAZARETH","2020-06-30","","451.27869565"
"NOBSA-NAZARETH","2020-06-29","","679.2926087"
"NOBSA-NAZARETH","2020-06-28","","495.665"
"NOBSA-NAZARETH","2020-06-27","","661.2425"
"NOBSA-NAZARETH","2020-06-26","","484.24875"
"NOBSA-NAZARETH","2020-06-25","","283.71954545"
"NOBSA-NAZARETH","2020-06-24","","360.72173913"
"NOBSA-NAZARETH","2020-06-23","","476.68583333"
"NOBSA-NAZARETH","2020-06-22","","402.605"
"NOBSA-NAZARETH","2020-06-21","","611.1475"
"NOBSA-NAZARETH","2020-06-20","","541.66041667"
"NOBSA-NAZARETH","2020-06-19","","409.19625"
"NOBSA-NAZARETH","2020-06-18","","365.36869565"
"NOBSA-NAZARETH","2020-06-17","","356.99333333"
"NOBSA-NAZARETH","2020-06-16","","268.39916667"
"NOBSA-NAZARETH","2020-06-15","","289.29130435"
"NOBSA-NAZARETH","2020-06-14","","792.88875"
"NOBSA-NAZARETH","2020-06-13","","660.68041667"
"NOBSA-NAZARETH","2020-06-12","","438.90166667"
"NOBSA-NAZARETH","2020-06-11","","352.99333333"
"NOBSA-NAZARETH","2020-06-10","","525.76958333"
"NOBSA-NAZARETH","2020-06-09","","377.38708333"
"NOBSA-NAZARETH","2020-06-08","","463.83708333"
"NOBSA-NAZARETH","2020-06-07","","565.33043478"
"NOBSA-NAZARETH","2020-06-06","","665.40041667"
"NOBSA-NAZARETH","2020-06-05","","748.57782609"
"NOBSA-NAZARETH","2020-06-04","","699.90652174"
"NOBSA-NAZARETH","2020-06-03","","749.55791667"
"NOBSA-NAZARETH","2020-06-02","","536.88958333"
"NOBSA-NAZARETH","2020-06-01","","327.26958333"
"NOBSA-NAZARETH","2020-05-31","","654.65086957"
"NOBSA-NAZARETH","2020-05-30","","552.98083333"
"NOBSA-NAZARETH","2020-05-29","","492.93"
"NOBSA-NAZARETH","2020-05-28","","303.46416667"
"NOBSA-NAZARETH","2020-05-27","","299.98695652"
"NOBSA-NAZARETH","2020-05-26","","465.97625"
"NOBSA-NAZARETH","2020-05-25","","331.00363636"
"NOBSA-NAZARETH","2020-05-24","","503.02708333"
"NOBSA-NAZARETH","2020-05-23","","355.90708333"
"NOBSA-NAZARETH","2020-05-22","","541.4425"
"NOBSA-NAZARETH","2020-05-21","","440.10333333"
"NOBSA-NAZARETH","2020-05-20","","544.04608696"
"NOBSA-NAZARETH","2020-05-19","","402.2725"
"NOBSA-NAZARETH","2020-05-18","","565.65625"
"NOBSA-NAZARETH","2020-05-17","","392.04166667"
"NOBSA-NAZARETH","2020-05-16","","600.16"
"NOBSA-NAZARETH","2020-05-15","","606.21956522"
"NOBSA-NAZARETH","2020-05-14","","389.00291667"
"NOBSA-NAZARETH","2020-05-13","","254.92833333"
"NOBSA-NAZARETH","2020-05-12","","640.77791667"
"NOBSA-NAZARETH","2020-05-11","","576.67375"
"NOBSA-NAZARETH","2020-05-10","","569.52916667"
"NOBSA-NAZARETH","2020-05-09","","948.30166667"
"NOBSA-NAZARETH","2020-05-08","","546.68541667"
"NOBSA-NAZARETH","2020-05-07","","326.74565217"
"NOBSA-NAZARETH","2020-05-06","","526.76125"
"NOBSA-NAZARETH","2020-05-05","","366.13043478"
"NOBSA-NAZARETH","2020-05-04","","410.26636364"
"NOBSA-NAZARETH","2020-05-03","","389.74916667"
"NOBSA-NAZARETH","2020-05-02","","533.4275"
"NOBSA-NAZARETH","2020-05-01","","709.33"
"NOBSA-NAZARETH","2020-04-30","","557.38652174"
"NOBSA-NAZARETH","2020-04-29","","400.98347826"
"NOBSA-NAZARETH","2020-04-28","","558.87875"
"NOBSA-NAZARETH","2020-04-27","","609.3325"
"NOBSA-NAZARETH","2020-04-26","","723.58291667"
"NOBSA-NAZARETH","2020-04-25","","427.82181818"
"NOBSA-NAZARETH","2020-04-24","","711.325"
"NOBSA-NAZARETH","2020-04-23","","498.68166667"
"NOBSA-NAZARETH","2020-04-22","","509.43956522"
"NOBSA-NAZARETH","2020-04-21","","392.21541667"
"NOBSA-NAZARETH","2020-04-20","","590.59958333"
"NOBSA-NAZARETH","2020-04-19","","457.38333333"
"NOBSA-NAZARETH","2020-04-18","","539.27958333"
"NOBSA-NAZARETH","2020-04-17","","464.84291667"
"NOBSA-NAZARETH","2020-04-16","","376.76583333"
"NOBSA-NAZARETH","2020-04-15","","429.91869565"
"NOBSA-NAZARETH","2020-04-14","","534.30041667"
"NOBSA-NAZARETH","2020-04-13","","979.85333333"
"NOBSA-NAZARETH","2020-04-12","","297.93833333"
"NOBSA-NAZARETH","2020-04-11","","341.28958333"
"NOBSA-NAZARETH","2020-04-10","","368.78583333"
"NOBSA-NAZARETH","2020-04-09","","268.84333333"
"NOBSA-NAZARETH","2020-04-08","","250.65916667"
"NOBSA-NAZARETH","2020-04-07","","557.83695652"
"NOBSA-NAZARETH","2020-04-06","","278.51333333"
"NOBSA-NAZARETH","2020-04-05","","238.22714286"
"NOBSA-NAZARETH","2020-04-04","","477.82782609"
"NOBSA-NAZARETH","2020-04-03","","448.04304348"
"NOBSA-NAZARETH","2020-04-02","","392.06130435"
"NOBSA-NAZARETH","2020-04-01","","658.42086957"
"NOBSA-NAZARETH","2020-03-31","","543.89391304"
"NOBSA-NAZARETH","2020-03-30","","596.25695652"
"NOBSA-NAZARETH","2020-03-29","","652.70043478"
"NOBSA-NAZARETH","2020-03-28","","970.24375"
"NOBSA-NAZARETH","2020-03-27","","1021.00916667"
"NOBSA-NAZARETH","2020-03-26","","865.71458333"
"NOBSA-NAZARETH","2020-03-25","","618.75318182"
"NOBSA-NAZARETH","2020-03-24","","617.0385"
"NOBSA-NAZARETH","2020-03-23","","446.2725"
"NOBSA-NAZARETH","2020-03-22","","471.60333333"
"NOBSA-NAZARETH","2020-03-21","","541.81375"
"NOBSA-NAZARETH","2020-03-20","","474.49458333"
"NOBSA-NAZARETH","2020-03-19","","466.64583333"
"NOBSA-NAZARETH","2020-03-18","","562.43090909"
"NOBSA-NAZARETH","2020-03-17","","586.18583333"
"NOBSA-NAZARETH","2020-03-16","","780.7125"
"NOBSA-NAZARETH","2020-03-15","","680.96695652"
"NOBSA-NAZARETH","2020-03-14","","662.49333333"
"NOBSA-NAZARETH","2020-03-13","","593.20142857"
"NOBSA-NAZARETH","2020-03-12","","472.46666667"
"NOBSA-NAZARETH","2020-03-11","","892.54583333"
"NOBSA-NAZARETH","2020-03-10","","721.71125"
"NOBSA-NAZARETH","2020-03-09","","574.4675"
"NOBSA-NAZARETH","2020-03-08","","638.38666667"
"NOBSA-NAZARETH","2020-03-07","","818.88434783"
"NOBSA-NAZARETH","2020-03-06","","669.80304348"
"NOBSA-NAZARETH","2020-03-05","","365.21217391"
"NOBSA-NAZARETH","2020-03-04","","529.96695652"
"NOBSA-NAZARETH","2020-03-03","","726.13782609"
"NOBSA-NAZARETH","2020-03-02","","499.29761905"
"NOBSA-NAZARETH","2020-03-01","","491.63625"
"SOGAMOSO-MOVIL KOICA","2020-12-31","","595.165"
"SOGAMOSO-MOVIL KOICA","2020-12-30","","720.25708333"
"SOGAMOSO-MOVIL KOICA","2020-12-29","","522.02956522"
"SOGAMOSO-MOVIL KOICA","2020-12-28","","488.17375"
"SOGAMOSO-MOVIL KOICA","2020-12-27","","587.56416667"
"SOGAMOSO-MOVIL KOICA","2020-12-26","","619.23833333"
"SOGAMOSO-MOVIL KOICA","2020-12-25","","797.19272727"
"SOGAMOSO-MOVIL KOICA","2020-12-24","","741.05041667"
"SOGAMOSO-MOVIL KOICA","2020-12-23","","529.27375"
"SOGAMOSO-MOVIL KOICA","2020-12-22","","589.57333333"
"SOGAMOSO-MOVIL KOICA","2020-12-21","","683.63083333"
"SOGAMOSO-MOVIL KOICA","2020-12-20","","804.53416667"
"SOGAMOSO-MOVIL KOICA","2020-12-19","","421.22666667"
"SOGAMOSO-MOVIL KOICA","2020-12-18","","563.58416667"
"SOGAMOSO-MOVIL KOICA","2020-12-17","","587.69833333"
"SOGAMOSO-MOVIL KOICA","2020-12-16","","385.59916667"
"SOGAMOSO-MOVIL KOICA","2020-12-15","","516.90869565"
"SOGAMOSO-MOVIL KOICA","2020-12-14","","577.0226087"
"SOGAMOSO-MOVIL KOICA","2020-12-13","","360.40083333"
"SOGAMOSO-MOVIL KOICA","2020-12-12","","457.19916667"
"SOGAMOSO-MOVIL KOICA","2020-12-11","","823.59375"
"SOGAMOSO-MOVIL KOICA","2020-12-10","","708.22708333"
"SOGAMOSO-MOVIL KOICA","2020-12-09","","761.29956522"
"SOGAMOSO-MOVIL KOICA","2020-12-08","","809.13416667"
"SOGAMOSO-MOVIL KOICA","2020-12-07","","500.39826087"
"SOGAMOSO-MOVIL KOICA","2020-12-06","","482.39708333"
"SOGAMOSO-MOVIL KOICA","2020-12-05","","401.12"
"SOGAMOSO-MOVIL KOICA","2020-12-04","","794.72565217"
"SOGAMOSO-MOVIL KOICA","2020-12-03","","400.6985"
"SOGAMOSO-MOVIL KOICA","2020-12-02","","682.84458333"
"SOGAMOSO-MOVIL KOICA","2020-12-01","","346.54916667"
"SOGAMOSO-MOVIL KOICA","2020-11-30","","257.90043478"
"SOGAMOSO-MOVIL KOICA","2020-11-29","","309.20391304"
"SOGAMOSO-MOVIL KOICA","2020-11-28","","400.6675"
"SOGAMOSO-MOVIL KOICA","2020-11-27","","98.59913043"
"SOGAMOSO-MOVIL KOICA","2020-11-26","","0.0"
"SOGAMOSO-MOVIL KOICA","2020-11-23","","1088.90785714"
"SOGAMOSO-MOVIL KOICA","2020-11-22","","505.01625"
"SOGAMOSO-MOVIL KOICA","2020-11-21","","317.7675"
"SOGAMOSO-MOVIL KOICA","2020-11-20","","15.96125"
"SOGAMOSO-MOVIL KOICA","2020-11-19","","1011.41888889"
"SOGAMOSO-MOVIL KOICA","2020-11-18","","1129.23208333"
"SOGAMOSO-MOVIL KOICA","2020-11-17","","570.45478261"
"SOGAMOSO-MOVIL KOICA","2020-11-16","","906.92083333"
"SOGAMOSO-MOVIL KOICA","2020-11-15","","585.16391304"
"SOGAMOSO-MOVIL KOICA","2020-11-14","","430.24541667"
"SOGAMOSO-MOVIL KOICA","2020-11-13","","308.84916667"
"SOGAMOSO-MOVIL KOICA","2020-11-12","","983.835"
"SOGAMOSO-MOVIL KOICA","2020-11-11","","676.27291667"
"SOGAMOSO-MOVIL KOICA","2020-11-10","","434.56208333"
"SOGAMOSO-MOVIL KOICA","2020-11-09","","1010.90583333"
"SOGAMOSO-MOVIL KOICA","2020-11-08","","601.88625"
"SOGAMOSO-MOVIL KOICA","2020-11-07","","643.90521739"
"SOGAMOSO-MOVIL KOICA","2020-11-06","","558.7125"
"SOGAMOSO-MOVIL KOICA","2020-11-05","","344.8673913"
"SOGAMOSO-MOVIL KOICA","2020-11-04","","286.66782609"
"SOGAMOSO-MOVIL KOICA","2020-11-03","","1779.35347826"
"SOGAMOSO-MOVIL KOICA","2020-11-02","","1154.81333333"
"SOGAMOSO-MOVIL KOICA","2020-11-01","","1233.82916667"
"SOGAMOSO-MOVIL KOICA","2020-10-31","","1072.95956522"
"SOGAMOSO-MOVIL KOICA","2020-10-30","","1049.02375"
"SOGAMOSO-MOVIL KOICA","2020-10-29","","665.69136364"
"SOGAMOSO-MOVIL KOICA","2020-10-28","","315.55047619"
"SOGAMOSO-MOVIL KOICA","2020-10-27","","677.8975"
"SOGAMOSO-MOVIL KOICA","2020-10-26","","454.0925"
"SOGAMOSO-MOVIL KOICA","2020-10-25","","445.06636364"
"SOGAMOSO-MOVIL KOICA","2020-10-24","","294.56208333"
"SOGAMOSO-MOVIL KOICA","2020-10-23","","401.37958333"
"SOGAMOSO-MOVIL KOICA","2020-10-22","","459.3825"
"SOGAMOSO-MOVIL KOICA","2020-10-21","","589.53333333"
"SOGAMOSO-MOVIL KOICA","2020-10-20","","881.18125"
